Date,BTC-USD_price
2014-10-16 00:00:00+00:00,382.5559997558594
2014-10-17 00:00:00+00:00,383.75799560546875
2014-10-18 00:00:00+00:00,391.4419860839844
2014-10-19 00:00:00+00:00,389.5459899902344
2014-10-20 00:00:00+00:00,382.8450012207031
2014-10-21 00:00:00+00:00,386.4750061035156
2014-10-22 00:00:00+00:00,383.1579895019531
2014-10-23 00:00:00+00:00,358.4169921875
2014-10-24 00:00:00+00:00,358.3450012207031
2014-10-25 00:00:00+00:00,347.27099609375
2014-10-26 00:00:00+00:00,354.7040100097656
2014-10-27 00:00:00+00:00,352.989013671875
2014-10-28 00:00:00+00:00,357.6180114746094
2014-10-29 00:00:00+00:00,335.59100341796875
2014-10-30 00:00:00+00:00,345.30499267578125
2014-10-31 00:00:00+00:00,338.3210144042969
2014-11-01 00:00:00+00:00,325.7489929199219
2014-11-02 00:00:00+00:00,325.8919982910156
2014-11-03 00:00:00+00:00,327.5539855957031
2014-11-04 00:00:00+00:00,330.49200439453125
2014-11-05 00:00:00+00:00,339.4859924316406
2014-11-06 00:00:00+00:00,349.2900085449219
2014-11-07 00:00:00+00:00,342.4150085449219
2014-11-08 00:00:00+00:00,345.4880065917969
2014-11-09 00:00:00+00:00,363.2640075683594
2014-11-10 00:00:00+00:00,366.92401123046875
2014-11-11 00:00:00+00:00,367.69500732421875
2014-11-12 00:00:00+00:00,423.5610046386719
2014-11-13 00:00:00+00:00,420.7349853515625
2014-11-14 00:00:00+00:00,397.8179931640625
2014-11-15 00:00:00+00:00,376.13299560546875
2014-11-16 00:00:00+00:00,387.8819885253906
2014-11-17 00:00:00+00:00,387.4079895019531
2014-11-18 00:00:00+00:00,375.197998046875
2014-11-19 00:00:00+00:00,380.55499267578125
2014-11-20 00:00:00+00:00,357.8399963378906
2014-11-21 00:00:00+00:00,350.8479919433594
2014-11-22 00:00:00+00:00,352.9200134277344
2014-11-23 00:00:00+00:00,367.572998046875
2014-11-24 00:00:00+00:00,376.9010009765625
2014-11-25 00:00:00+00:00,375.3479919433594
2014-11-26 00:00:00+00:00,368.3699951171875
2014-11-27 00:00:00+00:00,369.6700134277344
2014-11-28 00:00:00+00:00,376.4469909667969
2014-11-29 00:00:00+00:00,375.4909973144531
2014-11-30 00:00:00+00:00,378.0469970703125
2014-12-01 00:00:00+00:00,379.2449951171875
2014-12-02 00:00:00+00:00,381.31500244140625
2014-12-03 00:00:00+00:00,375.010009765625
2014-12-04 00:00:00+00:00,369.60400390625
2014-12-05 00:00:00+00:00,376.85400390625
2014-12-06 00:00:00+00:00,374.7850036621094
2014-12-07 00:00:00+00:00,375.0950012207031
2014-12-08 00:00:00+00:00,361.90899658203125
2014-12-09 00:00:00+00:00,352.218994140625
2014-12-10 00:00:00+00:00,346.364990234375
2014-12-11 00:00:00+00:00,350.5060119628906
2014-12-12 00:00:00+00:00,352.5419921875
2014-12-13 00:00:00+00:00,347.3760070800781
2014-12-14 00:00:00+00:00,351.6319885253906
2014-12-15 00:00:00+00:00,345.3450012207031
2014-12-16 00:00:00+00:00,327.06201171875
2014-12-17 00:00:00+00:00,319.7760009765625
2014-12-18 00:00:00+00:00,311.39599609375
2014-12-19 00:00:00+00:00,317.8429870605469
2014-12-20 00:00:00+00:00,329.95599365234375
2014-12-21 00:00:00+00:00,320.8429870605469
2014-12-22 00:00:00+00:00,331.885986328125
